Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,HZ,VC,FU,BC,SQ,FG+,MI,TS,DZ,RA,BR,FG,SN,Datetime_Date
0,2007-05-01,83.0,50.0,67.0,14.0,51.0,56.0,0.0,2.0,0.0,29.1,29.82,1.7,27,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-05-01
2,2007-05-02,83.0,42.0,59.0,-3.0,46.5,51.5,14.0,0.0,0.0,29.24,29.955,13.0,4,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2007-05-02
4,2007-05-03,83.0,42.0,58.0,2.0,44.3333333333,50.3333333333,14.0,0.0,0.0,29.29,30.01,13.0,7,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,2007-05-03
6,2007-05-04,83.0,42.0,58.0,4.0,43.5,50.25,14.0,0.0,0.0,29.295,30.02,13.0,8,11.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,2007-05-04
8,2007-05-05,83.0,42.0,58.4,5.0,42.4,50.0,14.0,0.0,0.0,29.316,30.036,13.0,7,11.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,2007-05-05
10,2007-05-06,83.0,42.0,58.5,4.0,40.3333333333,49.3333333333,14.0,0.0,0.0,29.3583333333,30.0783333333,14.4,11,12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.166666666667,0.0,0.0,2007-05-06
12,2007-05-07,83.0,42.0,59.4285714286,10.0,40.4285714286,50.0,14.0,0.0,0.0,29.3614285714,30.0842857143,14.4,18,11.8285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.142857142857,0.0,0.0,2007-05-07
14,2007-05-08,83.0,42.0,60.5,12.0,42.625,51.5,14.0,0.0,0.0,29.3525,30.0775,14.4,11,11.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,2007-05-08
16,2007-05-09,83.0,42.0,61.4444444444,13.0,44.4444444444,52.7777777778,14.0,0.0,0.0144444444444,29.3366666667,30.0622222222,14.4,9,10.5333333333,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.333333333333,0.0,0.0,2007-05-09
18,2007-05-10,84.0,42.0,62.3,14.0,45.2,53.5,14.0,0.0,0.013,29.323,30.048,14.4,17,9.89,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,2007-05-10
20,2007-05-11,84.0,42.0,62.1818181818,4.0,44.9090909091,53.2727272727,14.0,0.0,0.0118181818182,29.3236363636,30.0472727273,14.4,3,10.1636363636,0.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.363636363636,0.0,0.0,2007-05-11
22,2007-05-12,84.0,42.0,61.5833333333,-2.0,44.1666666667,52.6666666667,14.0,0.0,0.0108333333333,29.3375,30.06,14.4,3,10.3916666667,0.0833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.333333333333,0.0,0.0,2007-05-12
24,2007-05-13,84.0,42.0,61.1538461538,-2.0,43.3076923077,52.1538461538,14.0,0.0,0.01,29.3492307692,30.0738461538,14.4,14,10.2153846154,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153846153846,0.307692307692,0.0,0.0,2007-05-13
26,2007-05-14,90.0,42.0,62.0,15.0,43.5714285714,52.6428571429,14.0,0.0,0.00928571428571,29.3407142857,30.0664285714,16.9,21,10.7214285714,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.285714285714,0.0,0.0,2007-05-14
