county_fips,county_name,state_abbrev,2013 uninsured rate,2016 uninsured rate,decrease from 2013 to 2016
1001,Autauga County,AL,17,8,-9
1003,Baldwin County,AL,17,8,-9
1005,Barbour County,AL,24,15,-9
1007,Bibb County,AL,20,10,-10
1009,Blount County,AL,19,10,-9
1011,Bullock County,AL,28,17,-11
1013,Butler County,AL,24,14,-10
1015,Calhoun County,AL,21,11,-10
1017,Chambers County,AL,25,13,-12
1019,Cherokee County,AL,22,10,-12
1021,Chilton County,AL,22,13,-9
1023,Choctaw County,AL,26,15,-11
1025,Clarke County,AL,24,13,-11
1027,Clay County,AL,22,13,-9
1029,Cleburne County,AL,22,12,-10
1031,Coffee County,AL,20,15,-5
1033,Colbert County,AL,20,10,-10
1035,Conecuh County,AL,29,15,-14
1037,Coosa County,AL,22,11,-11
1039,Covington County,AL,22,13,-9
1041,Crenshaw County,AL,23,17,-6
1043,Cullman County,AL,19,13,-7
1045,Dale County,AL,21,12,-10
1047,Dallas County,AL,28,17,-11
1049,DeKalb County,AL,23,13,-10
1051,Elmore County,AL,17,9,-8
1053,Escambia County,AL,25,17,-8
1055,Etowah County,AL,21,12,-9
1057,Fayette County,AL,21,12,-9
1059,Franklin County,AL,22,13,-9
1061,Geneva County,AL,22,15,-7
1063,Greene County,AL,28,13,-15
1065,Hale County,AL,26,14,-12
1067,Henry County,AL,21,11,-10
1069,Houston County,AL,19,17,-2
1071,Jackson County,AL,21,11,-10
1073,Jefferson County,AL,19,11,-8
1075,Lamar County,AL,21,12,-10
1077,Lauderdale County,AL,19,9,-10
1079,Lawrence County,AL,21,15,-6
1081,Lee County,AL,20,8,-13
1083,Limestone County,AL,16,8,-8
1085,Lowndes County,AL,29,14,-15
1087,Macon County,AL,30,15,-15
1089,Madison County,AL,17,8,-9
1091,Marengo County,AL,24,12,-12
1093,Marion County,AL,21,12,-9
1095,Marshall County,AL,21,15,-6
1097,Mobile County,AL,22,12,-10
1099,Monroe County,AL,25,15,-10
1101,Montgomery County,AL,21,11,-10
1103,Morgan County,AL,19,10,-9
1105,Perry County,AL,31,15,-16
1107,Pickens County,AL,24,16,-8
1109,Pike County,AL,26,20,-6
1111,Randolph County,AL,23,13,-10
1113,Russell County,AL,25,18,-7
1115,St. Clair County,AL,17,8,-9
1117,Shelby County,AL,11,4,-7
1119,Sumter County,AL,30,16,-14
1121,Talladega County,AL,23,11,-12
1123,Tallapoosa County,AL,22,13,-9
1125,Tuscaloosa County,AL,19,10,-9
1127,Walker County,AL,21,11,-10
1129,Washington County,AL,24,15,-9
1131,Wilcox County,AL,31,17,-14
1133,Winston County,AL,22,12,-10
2013,Aleutians East Borough,AK,27,33,6
2016,Aleutians West Census Area,AK,24,22,-2
2020,Anchorage Municipality,AK,14,7,-7
2050,Bethel Census Area,AK,20,30,10
